# name	what	mode	monetization   (mode: train=ligero · full=torneo completo)
Menu de Restaurante	sitio de menu de restaurante: categorias, platos con precio/foto/descripcion, disponibilidad, pagina publica, destacados	full	free
Base de Conocimiento	base de conocimiento/FAQ: articulos por categoria, busqueda, votos util/no util, articulos relacionados, pagina publica	full	free
Status Page	pagina de estado de servicios: servicios y componentes, estado actual, uptime 90 dias, incidentes con updates, mantenimientos, suscripcion por email	full	free
Bolsa de Empleo	bolsa de empleo: ofertas con empresa/categoria/ubicacion/remoto, busqueda y filtros, postular, pagina publica, destacados	full	free
Directorio de Negocios	directorio de negocios: fichas con categoria/ubicacion (lat/lng)/horarios, busqueda por cercania, reseñas, pagina publica	full	free
Cartelera de Eventos	cartelera de eventos: eventos con fecha/lugar/categoria, calendario, filtros, detalle, asistir/interesado, pagina publica	full	free
Dashboard del Clima	dashboard del clima: ciudades favoritas, clima actual y pronostico (ingesta por cron de una fuente real), graficos, busqueda de ciudad	full	free
Libro de Visitas	libro de visitas: mensajes publicos con nombre y texto, moderacion, paginacion, anti-spam basico	train	free
Foro	foro de discusion: categorias, temas, respuestas anidadas, usuarios, votos, busqueda, scoping de autor	train	free
Preguntas y Respuestas	sitio de preguntas y respuestas: preguntas con tags, respuestas, votos, mejor respuesta aceptada, reputacion, busqueda	train	free
Encuestas	app de encuestas/votacion: crear encuesta con opciones, votar una vez, resultados en vivo con grafico, compartir, cierre	train	free
Reseñas	sitio de reseñas: items, reseñas con rating 1-5 y texto, promedio, filtros, util/no util, scoping (una reseña por usuario)	full	free
Clasificados	clasificados: avisos con categoria/precio/fotos/ubicacion, busqueda y filtros, contactar al vendedor, marcar vendido, scoping	full	free
Galeria de Fotos	galeria de fotos compartida: albumes, subir foto (data-url), descripcion, likes, comentarios, vista grid, scoping por dueño	train	free
Leaderboard	app de leaderboard/ranking: jugadores, puntajes, ranking ordenado, filtros por periodo, perfil de jugador, top N	train	free
Adopcion de Mascotas	tablero de adopcion de mascotas: fichas (especie/edad/ubicacion/fotos), filtros, solicitud de adopcion, estados, scoping del publicante	train	free
Objetos Perdidos	objetos perdidos y encontrados: publicaciones con tipo/lugar/fecha/foto, busqueda, marcar resuelto, contacto, scoping	train	free
Tienda Online	tienda online simple: productos, carrito, checkout con pago, ordenes con estado, stock, total con envio	full	pago
Descargas Digitales	tienda de descargas digitales: productos digitales, compra con pago, entrega del archivo/link tras pagar, ordenes, biblioteca del comprador	full	pago
Donaciones	pagina de donaciones/tip jar: montos sugeridos y libre, pago, mensaje opcional, muro de donantes, total recaudado	full	pago
Crowdfunding	crowdfunding simple: campañas con meta y plazo, aportes con pago, barra de progreso, recompensas por nivel, lista de backers	full	pago
Venta de Entradas	venta de entradas a eventos: eventos, tipos de entrada con cupo y precio, compra con pago, codigo QR por entrada, control de cupo	full	pago
Puntos de Lealtad	programa de puntos de lealtad: clientes, acumular/canjear puntos (ledger append-only), recompensas, balance, historial	full	suscripcion
Dividir Gastos	app para dividir gastos en grupo: grupos, gastos con pagador y participantes, balance quien debe a quien, liquidacion sugerida, saldar	train	free
Generador de Facturas	generador de facturas: clientes, items con cantidad/precio/impuesto, numeracion, totales, estados, PDF/imprimir, listado	full	pago
Membresia Paywall	sitio de membresia con paywall: contenido premium, planes de suscripcion, pago recurrente, acceso por plan, area de socio	full	suscripcion
POS Simple	punto de venta (POS) simple: catalogo, agregar al ticket, descuentos, cobro con pago, cierre de caja diario, ventas del dia	full	pago
Quiz	app de quiz: cuestionarios con preguntas de opcion multiple, puntaje, ranking, explicacion de respuestas, crear quiz	train	free
Trivia	juego de trivia: categorias, preguntas con tiempo, puntaje por velocidad, ranking, banco de preguntas	train	free
Test de Tipeo	test de mecanografia: textos, WPM y precision en vivo, errores resaltados, niveles, ranking de mejores WPM	train	free
Practica de Matematicas	practica de matematicas: operaciones por nivel, contra reloj, puntaje, racha, estadisticas de aciertos por tipo	train	free
Vocabulario	constructor de vocabulario: palabras con definicion/ejemplo, listas, quiz de repaso, progreso, repeticion espaciada	train	free
Sudoku	sudoku: generador por dificultad, validacion, notas en celda, pistas, cronometro, deshacer, verificar	train	free
Sopa de Letras	sopa de letras/crucigrama: grilla con palabras ocultas, seleccionar palabra, marcar encontradas, niveles, cronometro	train	free
Ahorcado	juego del ahorcado: categorias de palabras, adivinar letras, intentos, teclado en pantalla, puntaje, racha	train	free
Quiz de Banderas	quiz de banderas y capitales: paises con bandera/capital, modo banderas o capitales, puntaje, ranking, por continente	train	free
Akinator	clon de Akinator / 20 preguntas: arbol de preguntas si/no/no-se, adivina el personaje u objeto, APRENDE cuando falla (agrega objeto y pregunta distintiva), ranking de aciertos, base de objetos y preguntas	full	free
Timer de Meditacion	timer de meditacion: duracion, sonido de campana de inicio/fin, intervalos, sesiones registradas, racha, estadisticas	train	free
Diario de Gratitud	diario de gratitud: entrada diaria con 3 cosas, etiquetas, calendario, racha, busqueda, recordatorio diario	train	free
Itinerario de Viaje	planificador de itinerario de viaje: viajes, dias, actividades con hora/lugar, presupuesto, lista de tareas, mapa simple	train	free
Lista de Equipaje	lista de equipaje: plantillas por tipo de viaje, items por categoria, marcar empacado, cantidad, progreso	train	free
Tareas del Hogar	tareas del hogar (familia): miembros, tareas rotativas, asignacion semanal, completar, puntos/recompensas, ranking familiar	train	free
Planificador de Huerta	planificador de huerta: canteros, plantas con temporada y riego, calendario de siembra/cosecha, recordatorios de riego	train	free
Bitacora de Cafe	bitacora de cafe/vino: registros con origen/nota/puntaje, fotos, etiquetas, ranking personal, busqueda	train	free
Coleccion	tracker de colecciones (vinilos/cartas/libros): items con atributos/foto/valor, categorias, busqueda, estadisticas, faltantes	train	free
Checklist de Casamiento	checklist de planificacion de casamiento: tareas por categoria con fecha limite, proveedores, presupuesto, invitados con RSVP, progreso	train	free
Recordatorio de Medicacion	recordatorio de medicacion: medicamentos con dosis y horarios, recordatorios, registro de tomas, adherencia, stock restante	train	free
